Roll Number,Official School Name,Coeducational/Singlesex,Ethos,Language,County,School Planning Area,School Type,Patron,Households associated with the current pupils,Validated responses from parents with children in primary school,Response rate from parents with children in primary school,Overall margin of error associated with the current pupils,Preference for singlesex from parents with children in primary school,Preference for coeducational from parents with children in primary school,Preference for multidenominational from parents with children in primary school,Preference for denominational from parents with children in primary school,Preference for Irish from parents with children in primary school,Preference for English from parents with children in primary school,Preference for singlesex from parents with children in primary school (%),Preference for coeducational from parents with children in primary school (%),Preference for multidenominational from parents with children in primary school (%),Preference for denominational from parents with children in primary school (%),Preference for Irish from parents with children in primary school (%),Preference for English from parents with children in primary school (%),Validated responses from parents of children not yet in school,Preference for singlesex from parents of children not yet in school,Preference for coeducational from parents of children not yet in school,Preference for multidenominational from parents of children not yet in school,Preference for denominational from parents of children not yet in school,Preference for Irish from parents of children not yet in school,Preference for English from parents of children not yet in school,Preference for singlesex from parents of children not yet in school (%),Preference for coeducational from parents of children not yet in school (%),Preference for multidenominational from parents of children not yet in school (%),Preference for denominational from parents of children not yet in school (%),Preference for Irish from parents of children not yet in school (%),Preference for English from parents of children not yet in school (%)
19533Q,S N Muire agus Iosef,Co educational,Denominational,English,Dublin,Donaghmede_Howth_D13,Mainstream,Archbishop of Dublin,340,160,47%,6%,4,156,84,76,30,130,3%,98%,52%,48%,19%,81%,,,,,,,,,,,,,
19538D,St Kevins Junior N S,Co educational,Denominational,English,Dublin,Donaghmede_Howth_D13,Mainstream,Archbishop of Dublin,128,41,32%,12%,1,40,14,27,2,39,2%,98%,34%,66%,5%,95%,,,,,,,,,,,,,
19549I,St Fintans Ns,Co educational,Denominational,English,Dublin,Donaghmede_Howth_D13,Mainstream,Archbishop of Dublin,288,124,43%,7%,0,124,73,51,23,101,0%,100%,59%,41%,19%,81%,76,0,76,41,35,17,59,0%,100%,54%,46%,22%,78%
19611K,Scoil Naomh Colmcille,Co educational,Denominational,English,Dublin,Donaghmede_Howth_D13,Mainstream,Archbishop of Dublin,187,47,25%,12%,1,46,24,23,8,39,2%,98%,51%,49%,17%,83%,,,,,,,,,,,,,
19618B,St Pauls Sen Ns,Co educational,Denominational,English,Dublin,Donaghmede_Howth_D13,Mainstream,Archbishop of Dublin,200,82,41%,9%,3,79,26,56,16,66,4%,96%,32%,68%,20%,80%,34,0,34,7,27,7,27,0%,100%,21%,79%,21%,79%
20304I,St. Francis Of Assisi National School,Co educational,Denominational,English,Dublin,Donaghmede_Howth_D13,Mainstream,Archbishop of Dublin,331,109,33%,8%,7,102,59,50,8,101,6%,94%,54%,46%,7%,93%,51,2,49,23,28,7,44,4%,96%,45%,55%,14%,86%
20308Q,Belmayne Educate Together National School,Co educational,Multi denominational,English,Dublin,Donaghmede_Howth_D13,Mainstream,Educate Together,325,160,49%,6%,1,159,153,7,15,145,1%,99%,96%,4%,9%,91%,90,2,88,87,3,7,83,2%,98%,97%,3%,8%,92%
20437E,St Laurence's National School,Co educational,Denominational,English,Dublin,Donaghmede_Howth_D13,Mainstream,Archbishop of Dublin,289,142,49%,7%,4,138,78,64,28,114,3%,97%,55%,45%,20%,80%,38,0,38,19,19,10,28,0%,100%,50%,50%,26%,74%
20519G,Stapolin Educate Together National School,Co educational,Multi denominational,English,Dublin,Donaghmede_Howth_D13,Mainstream,Educate Together,272,101,37%,8%,1,100,95,6,8,93,1%,99%,94%,6%,8%,92%,43,0,43,42,1,6,37,0%,100%,98%,2%,14%,86%
20538K,Gaelscoil Ghráinne Mhaol,Co educational,Multi denominational,Irish,Dublin,Donaghmede_Howth_D13,Mainstream,An Foras Pátrúnachta,68,47,69%,12%,1,46,40,7,46,1,2%,98%,85%,15%,98%,2%,42,0,42,37,5,41,1,0%,100%,88%,12%,98%,2%
00752A,Central Senior Mxd N S,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Minister for Education & Skills,190,42,22%,12%,7,35,22,20,4,38,17%,83%,52%,48%,10%,90%,,,,,,,,,,,,,
01795A,Central Infs School,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Minister for Education & Skills,123,46,37%,12%,6,40,25,21,4,42,13%,87%,54%,46%,9%,91%,,,,,,,,,,,,,
05933G,Presentation Primary School,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,130,25,19%,16%,3,22,13,12,3,22,12%,88%,52%,48%,12%,88%,,,,,,,,,,,,,
11525A,St Patricks N School,Single sex,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,361,178,49%,6%,19,159,65,113,31,147,11%,89%,37%,63%,17%,83%,66,2,64,29,37,4,62,3%,97%,44%,56%,6%,94%
12448N,Gardiner Street Convent,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,187,47,25%,12%,7,40,19,28,6,41,15%,85%,40%,60%,13%,87%,,,,,,,,,,,,,
14463T,St Columbas N S Mxd,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,66,19,29%,18%,1,18,16,3,7,12,5%,95%,84%,16%,37%,63%,,,,,,,,,,,,,
15056L,S N San Vinseann Cailin,Single sex,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,165,44,27%,12%,22,22,17,27,4,40,50%,50%,39%,61%,9%,91%,,,,,,,,,,,,,
15816I,St Vincents Inf Boys,Single sex,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,83,22,27%,17%,12,10,5,17,3,19,55%,45%,23%,77%,14%,86%,,,,,,,,,,,,,
15895H,Drumcondra N S,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,55,37,67%,13%,1,36,21,16,7,30,3%,97%,57%,43%,19%,81%,,,,,,,,,,,,,
16177F,Lindsay Road N S,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Minister of Abbey Presbyterian Church,70,35,50%,13%,1,34,27,8,5,30,3%,97%,77%,23%,14%,86%,,,,,,,,,,,,,
16659A,St Columbas Con G & I,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,271,96,35%,8%,4,92,49,47,19,77,4%,96%,51%,49%,20%,80%,39,4,35,24,15,5,34,10%,90%,62%,38%,13%,87%
16860Q,Corpus Christi N S,Single sex,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,324,141,44%,7%,14,127,62,79,17,124,10%,90%,44%,56%,12%,88%,56,7,49,21,35,8,48,12%,88%,38%,62%,14%,86%
17110B,Naomh Lorcan O Tuathail Senior Boys,Single sex,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,56,22,39%,17%,7,15,8,14,5,17,32%,68%,36%,64%,23%,77%,,,,,,,,,,,,,
17881G,Scoil Ui Chonaill Boys Seniors,Single sex,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,128,31,24%,14%,14,17,8,23,6,25,45%,55%,26%,74%,19%,81%,,,,,,,,,,,,,
17890H,Hospital School Chi At Temple Street,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Special School,Archbishop of Dublin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18417J,St Josephs For Blind Ns,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Special School,Archbishop of Dublin,45,14,31%,20%,1,13,11,3,2,12,7%,93%,79%,21%,14%,86%,,,,,,,,,,,,,
18726W,S N Seosamh na mBrathar,Single sex,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,96,32,33%,14%,13,19,10,22,1,31,41%,59%,31%,69%,3%,97%,,,,,,,,,,,,,
19361N,An Taonad Reamhscoile,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Special School,Archbishop of Dublin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19395H,Scoil Mobhi,Co educational,Denominational,Irish,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,164,78,48%,9%,4,74,35,43,67,11,5%,95%,45%,55%,86%,14%,73,2,71,31,42,71,2,3%,97%,42%,58%,97%,3%
19774P,St Josephs Mxd N S,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,174,48,28%,12%,2,46,10,38,6,42,4%,96%,21%,79%,12%,88%,,,,,,,,,,,,,
19819L,St L O Tooles 2 Spec,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Special School,Archbishop of Dublin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19831B,Scoil Chaoimhin,Co educational,Denominational,Irish,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Minister for Education & Skills,44,20,46%,17%,3,17,8,12,15,5,15%,85%,40%,60%,75%,25%,,,,,,,,,,,,,
19926M,Gaelscoil Cholaiste Mhuire,Co educational,Denominational,Irish,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,132,69,52%,10%,2,67,20,49,64,5,3%,97%,29%,71%,93%,7%,31,3,28,6,25,31,0,10%,90%,19%,81%,100%,0%
19946S,Rutland National School,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,117,45,39%,12%,3,42,12,33,5,40,7%,93%,27%,73%,11%,89%,,,,,,,,,,,,,
19981U,St Marys N S,Single sex,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,169,56,33%,11%,12,44,24,32,11,45,21%,79%,43%,57%,20%,80%,,,,,,,,,,,,,
20021T,Henrietta Street School,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Special School,Archbishop of Dublin,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20153N,St Joseph's Adolescent School,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Special School,Archbishop of Dublin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20436C,Paradise Place Etns,Co educational,Multi denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Educate Together,163,40,25%,13%,4,36,25,15,3,37,10%,90%,62%,38%,7%,92%,,,,,,,,,,,,,
20486R,Grace Park Educate Together National School,Co educational,Multi denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Educate Together,295,139,47%,7%,1,138,135,4,27,112,1%,99%,97%,3%,19%,81%,98,1,97,98,0,25,73,1%,99%,100%,0%,26%,74%
20507W,St Laurence O'toole's National School,Co educational,Denominational,English,Dublin,Drumcondra_Marino_Dublin1,Mainstream,Archbishop of Dublin,119,29,24%,15%,9,20,12,17,2,27,31%,69%,41%,59%,7%,93%,,,,,,,,,,,,,
20517C,Drumcondra Marino Dublin 1 Gaelscoil,Co educational,Multi denominational,Irish,Dublin,Drumcondra_Marino_Dublin1,Mainstream,An Foras Pátrúnachta,115,71,62%,10%,0,71,65,6,67,4,0%,100%,92%,8%,94%,6%,50,0,50,48,2,50,0,0%,100%,96%,4%,100%,0%
13612F,Presentation Primary School,Single sex,Denominational,English,Dublin,Dublin_6w,Mainstream,Archbishop of Dublin,305,108,35%,8%,29,79,53,55,12,96,27%,73%,49%,51%,11%,89%,,,,,,,,,,,,,
19177U,St Pius X N S Boys,Single sex,Denominational,English,Dublin,Dublin_6w,Mainstream,Archbishop of Dublin,430,217,51%,6%,30,187,118,99,33,184,14%,86%,54%,46%,15%,85%,35,7,28,17,18,4,31,20%,80%,49%,51%,11%,89%
19178W,St Pius X G N S,Single sex,Denominational,English,Dublin,Dublin_6w,Mainstream,Archbishop of Dublin,448,217,48%,6%,40,177,117,100,36,181,18%,82%,54%,46%,17%,83%,97,16,81,53,44,18,79,16%,84%,55%,45%,19%,81%
19494J,Bishop Galvin Ns,Co educational,Denominational,English,Dublin,Dublin_6w,Mainstream,Archbishop of Dublin,379,178,47%,6%,1,177,98,80,22,156,1%,99%,55%,45%,12%,88%,,,,,,,,,,,,,
19658N,Bishop Shanahan Ns,Co educational,Denominational,English,Dublin,Dublin_6w,Mainstream,Archbishop of Dublin,364,159,44%,7%,3,156,71,88,23,136,2%,98%,45%,55%,14%,86%,116,1,115,52,64,19,97,1%,99%,45%,55%,16%,84%
19907I,Gaelscoil Mologa,Co educational,Denominational,Irish,Dublin,Dublin_6w,Mainstream,Archbishop of Dublin,137,57,42%,11%,0,57,40,17,55,2,0%,100%,70%,30%,96%,4%,46,2,44,34,12,46,0,4%,96%,74%,26%,100%,0%
19924I,Harolds Cross N S,Co educational,Denominational,English,Dublin,Dublin_6w,Mainstream,Archbishop of Dublin,306,120,39%,7%,3,117,84,36,24,96,3%,98%,70%,30%,20%,80%,148,1,147,130,18,34,114,1%,99%,88%,12%,23%,77%
20053J,Cheeverstown Sp Sch,Co educational,Denominational,English,Dublin,Dublin_6w,Special School,Cheeverstown School Company limited by guarantee,28,5,18%,30%,0,5,1,4,1,4,0%,100%,20%,80%,20%,80%,,,,,,,,,,,,,
20563J,Libermann Spiritan School,Co educational,Denominational,English,Dublin,Dublin_6w,Special School,Spiritan Education Trust,49,9,18%,24%,2,7,5,4,1,8,22%,78%,56%,44%,11%,89%,,,,,,,,,,,,,
07546J,Goldenbridge Convent,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,138,35,25%,13%,6,29,12,23,1,34,17%,83%,34%,66%,3%,97%,,,,,,,,,,,,,
13611D,Presentation Primary School,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,159,34,21%,14%,8,26,14,20,3,31,24%,76%,41%,59%,9%,91%,,,,,,,,,,,,,
14556D,South City Cns,Co educational,Multi denominational,English,Dublin,Dublin_8,Mainstream,City of Dublin ETB,101,20,20%,17%,0,20,12,8,2,18,0%,100%,60%,40%,10%,90%,,,,,,,,,,,,,
15625B,St Catherines West N S,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,154,84,55%,9%,0,84,53,31,9,75,0%,100%,63%,37%,11%,89%,59,2,57,30,29,11,48,3%,97%,51%,49%,19%,81%
16786H,St Brigids Primary School,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,147,22,15%,17%,6,16,7,15,2,20,27%,73%,32%,68%,9%,91%,53,6,47,28,25,8,45,11%,89%,53%,47%,15%,85%
17083B,S N Muire Gan Smal B,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,241,95,39%,8%,2,93,30,65,18,77,2%,98%,32%,68%,19%,81%,,,,,,,,,,,,,
17893N,Sancta Maria C B S,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,82,32,39%,14%,2,30,18,14,24,8,6%,94%,56%,44%,75%,25%,,,,,,,,,,,,,
18477E,Scoil na mBrathar,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,125,32,26%,14%,2,30,6,26,4,28,6%,94%,19%,81%,12%,88%,,,,,,,,,,,,,
19151C,St John Of God Sp Sch,Co educational,Denominational,English,Dublin,Dublin_8,Special School,Archbishop of Dublin,83,15,18%,20%,1,14,7,8,2,13,7%,93%,47%,53%,13%,87%,,,,,,,,,,,,,
19480V,St Patricks,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Dean of St Patrick's Catheral,22,9,41%,24%,0,9,3,6,1,8,0%,100%,33%,67%,11%,89%,44,7,37,20,24,4,40,16%,84%,45%,55%,9%,91%
19589U,Gaelscoil Inse Chor,Co educational,Denominational,Irish,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,146,68,47%,10%,1,67,46,22,65,3,1%,99%,68%,32%,96%,4%,95,0,95,72,23,94,1,0%,100%,76%,24%,99%,1%
19933J,Scoil Treasa Naofa,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,123,29,24%,15%,3,26,6,23,7,22,10%,90%,21%,79%,24%,76%,,,,,,,,,,,,,
20012S,Griffith Barracks Multi D School,Co educational,Multi denominational,English,Dublin,Dublin_8,Mainstream,Griffith Barracks Multidenominational School Company Limited by Guarantee,292,171,59%,6%,1,170,166,5,31,140,1%,99%,97%,3%,18%,82%,70,0,70,68,2,13,57,0%,100%,97%,3%,19%,81%
20104A,St Audoens Ns,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,134,42,31%,12%,0,42,11,31,7,35,0%,100%,26%,74%,17%,83%,,,,,,,,,,,,,
20139T,Inchicore Ns,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,145,55,38%,11%,2,53,30,25,9,46,4%,96%,55%,45%,16%,84%,,,,,,,,,,,,,
20429F,St. James's Primary School,Co educational,Denominational,English,Dublin,Dublin_8,Mainstream,Archbishop of Dublin,166,46,28%,12%,8,38,16,30,6,40,17%,83%,35%,65%,13%,87%,32,0,32,10,22,5,27,0%,100%,31%,69%,16%,84%
20430N,Canal Way Educate Together National School,Co educational,Multi denominational,English,Dublin,Dublin_8,Mainstream,Educate Together,306,133,44%,7%,1,132,124,9,18,115,1%,99%,93%,7%,14%,86%,48,0,48,46,2,9,39,0%,100%,96%,4%,19%,81%
03917V,Naomh Padraig Boys,Single sex,Denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Archbishop of Dublin,115,50,44%,11%,19,31,15,35,9,41,38%,62%,30%,70%,18%,82%,,,,,,,,,,,,,
11578V,City Quay Ns,Co educational,Denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Archbishop of Dublin,112,38,34%,13%,4,34,14,24,8,30,11%,89%,37%,63%,21%,79%,,,,,,,,,,,,,
11894I,Scoil Mhuire,Single sex,Denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Archbishop of Dublin,237,93,39%,8%,29,64,47,46,17,76,31%,69%,51%,49%,18%,82%,68,14,54,31,37,11,57,21%,79%,46%,54%,16%,84%
15253N,St Patricks Girls Ns,Single sex,Denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Archbishop of Dublin,114,42,37%,12%,19,23,9,33,9,33,45%,55%,21%,79%,21%,79%,,,,,,,,,,,,,
15995L,Star Of The Sea,Single sex,Denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Archbishop of Dublin,184,84,46%,9%,35,49,29,55,19,65,42%,58%,35%,65%,23%,77%,,,,,,,,,,,,,
18282M,Sn Paroiste Maitiu Nfa,Co educational,Denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,150,40,27%,13%,1,39,23,17,3,37,3%,98%,58%,42%,7%,92%,,,,,,,,,,,,,
18370J,Enable Ireland Sandymount School,Co educational,Denominational,English,Dublin,Dublin2_Dublin4,Special School,Enable Ireland Disability Services,47,17,36%,19%,2,15,8,9,5,12,12%,88%,47%,53%,29%,71%,,,,,,,,,,,,,
18569J,St Declans Special Sch,Co educational,Denominational,English,Dublin,Dublin2_Dublin4,Special School,Archbishop of Dublin,32,12,38%,21%,0,12,9,3,2,10,0%,100%,75%,25%,17%,83%,,,,,,,,,,,,,
19705T,Catherine Mc Auley N Sc,Co educational,Denominational,English,Dublin,Dublin2_Dublin4,Special School,Archbishop of Dublin,96,34,35%,14%,1,33,22,12,6,28,3%,97%,65%,35%,18%,82%,,,,,,,,,,,,,
19896G,Scoil Caitriona na mBraithre,Co educational,Denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Archbishop of Dublin,83,14,17%,20%,1,13,6,8,2,12,7%,93%,43%,57%,14%,86%,,,,,,,,,,,,,
20103V,John Scottus Ns,Co educational,Multi denominational,English,Dublin,Dublin2_Dublin4,Mainstream,The John Scottus Education Trust Company Limited by Guarantee,112,34,30%,14%,3,31,28,6,3,31,9%,91%,82%,18%,9%,91%,,,,,,,,,,,,,
20441S,Shellybanks Educate Together National School,Co educational,Multi denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Educate Together,263,74,28%,9%,4,70,67,7,8,66,5%,95%,91%,9%,11%,89%,,,,,,,,,,,,,
20501K,Harcourt Terrace Educate Together National School,Co educational,Multi denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Educate Together,234,76,33%,9%,0,76,68,8,7,69,0%,100%,89%,11%,9%,91%,46,0,46,43,3,7,39,0%,100%,93%,7%,15%,85%
20539M,Gaelscoil Eoin,Co educational,Multi denominational,Irish,Dublin,Dublin2_Dublin4,Mainstream,An Foras Pátrúnachta,55,27,49%,15%,0,27,20,7,24,3,0%,100%,74%,26%,89%,11%,,,,,,,,,,,,,
20545H,St Christopher's Ns,Co educational,Denominational,English,Dublin,Dublin2_Dublin4,Mainstream,Archbishop of Dublin,450,176,39%,6%,9,167,93,83,19,157,5%,95%,53%,47%,11%,89%,51,3,48,25,26,4,47,6%,94%,49%,51%,8%,92%
09750S,St Josephs Boys N S,Single sex,Denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Archbishop of Dublin,291,110,38%,8%,26,84,59,51,12,98,24%,76%,54%,46%,11%,89%,,,,,,,,,,,,,
12755W,Kildare Place N S,Co educational,Denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Board of Governors of the Church of Ireland College of Education,134,41,31%,12%,1,40,22,19,6,35,2%,98%,54%,46%,15%,85%,,,,,,,,,,,,,
14717B,Rathgar N S,Co educational,Denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Conference of Methodist Church in Ireland,59,15,25%,20%,0,15,10,5,3,12,0%,100%,67%,33%,20%,80%,,,,,,,,,,,,,
14917J,Zion Parish Primary School,Co educational,Denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,63,21,33%,17%,0,21,15,6,6,15,0%,100%,71%,29%,29%,71%,37,4,33,15,22,3,34,11%,89%,41%,59%,8%,92%
15618E,Sandford Parish National School,Co educational,Denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,142,43,30%,12%,2,41,29,14,7,36,5%,95%,67%,33%,16%,84%,,,,,,,,,,,,,
16651H,St Clares Convent N S,Co educational,Denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Archbishop of Dublin,131,35,27%,13%,1,34,12,23,10,25,3%,97%,34%,66%,29%,71%,,,,,,,,,,,,,
16966J,Scoil Naisiunta Stratford,Co educational,Denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Dublin Talmud Torah,66,28,42%,15%,1,27,21,7,1,27,4%,96%,75%,25%,4%,96%,,,,,,,,,,,,,
18817C,S N Brighde,Co educational,Denominational,Irish,Dublin,Dublin6_Clonskeagh,Mainstream,Archbishop of Dublin,266,110,41%,8%,1,109,54,56,101,9,1%,99%,49%,51%,92%,8%,30,0,30,17,13,29,1,0%,100%,57%,43%,97%,3%
18904U,St Peters Special Sch,Co educational,Denominational,English,Dublin,Dublin6_Clonskeagh,Special School,Archbishop of Dublin,58,14,24%,20%,2,12,5,9,4,10,14%,86%,36%,64%,29%,71%,,,,,,,,,,,,,
19727G,St Marys Central N S,Co educational,Denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Archbishop of Dublin,398,132,33%,7%,1,131,66,66,22,110,1%,99%,50%,50%,17%,83%,68,3,65,35,33,4,64,4%,96%,51%,49%,6%,94%
19928Q,Ranelagh Multi Denom Ns,Co educational,Multi denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,The Ranelagh Multidenominational Association,155,69,45%,10%,1,68,65,4,8,61,1%,99%,94%,6%,12%,88%,31,0,31,31,0,4,27,0%,100%,100%,0%,13%,87%
20048Q,Gaelscoil Lios na Nog,Co educational,Denominational,Irish,Dublin,Dublin6_Clonskeagh,Mainstream,An Foras Pátrúnachta,131,64,49%,10%,0,64,47,17,60,4,0%,100%,73%,27%,94%,6%,30,0,30,22,8,30,0,0%,100%,73%,27%,100%,0%
20520O,Dublin 6 Clonskeagh and Dublin 6w Primary School,Co educational,Multi denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Educate Together,127,64,50%,10%,0,64,60,4,10,54,0%,100%,94%,6%,16%,84%,,,,,,,,,,,,,
20571I,St. Louis National School,Co educational,Denominational,English,Dublin,Dublin6_Clonskeagh,Mainstream,Archbishop of Dublin,439,127,29%,7%,8,119,67,60,17,110,6%,94%,53%,47%,13%,87%,32,1,31,17,15,2,30,3%,97%,53%,47%,6%,94%
05600C,Clochar San Dominic,Co educational,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,131,30,23%,14%,0,30,15,15,1,29,0%,100%,50%,50%,3%,97%,,,,,,,,,,,,,
10494K,All Saints N S,Co educational,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,36,21,58%,17%,1,20,15,6,4,17,5%,95%,71%,29%,19%,81%,,,,,,,,,,,,,
14647G,Dalkey N S (2),Co educational,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin & Bishop of Glendalough COI,63,19,30%,18%,0,19,12,7,5,14,0%,100%,63%,37%,26%,74%,,,,,,,,,,,,,
15132B,Harold Boys N S,Single sex,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,91,30,33%,14%,6,24,16,14,3,27,20%,80%,53%,47%,10%,90%,,,,,,,,,,,,,
17954H,Scoil Caoimhin Naofa,Co educational,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,321,91,28%,9%,10,81,46,45,7,84,11%,89%,51%,49%,8%,92%,,,,,,,,,,,,,
18451J,Scoil Lorcáin,Co educational,Denominational,Irish,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,331,107,32%,8%,1,106,62,45,98,9,1%,99%,58%,42%,92%,8%,56,2,54,32,24,56,0,4%,96%,57%,43%,100%,0%
18499O,St Augustines School,Co educational,Denominational,English,Dublin,Dunlaoghaire,Special School,Archbishop of Dublin,154,28,18%,15%,1,27,18,10,4,24,4%,96%,64%,36%,14%,86%,,,,,,,,,,,,,
19066L,Loreto National School,Single sex,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,245,92,38%,9%,14,78,47,45,16,76,15%,85%,51%,49%,17%,83%,44,11,33,22,22,9,35,25%,75%,50%,50%,20%,80%
19258U,Scoil Padraig Naofa B,Single sex,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,409,192,47%,6%,32,160,105,87,22,170,17%,83%,55%,45%,11%,89%,49,11,38,29,20,3,46,22%,78%,59%,41%,6%,94%
19259W,St Patricks Gns,Single sex,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,404,181,45%,6%,34,147,90,91,26,155,19%,81%,50%,50%,14%,86%,44,10,34,22,22,10,34,23%,77%,50%,50%,23%,77%
19335M,Scoil na Naingeal,Co educational,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,319,137,43%,7%,2,135,74,63,22,115,1%,99%,54%,46%,16%,84%,48,2,46,25,23,11,37,4%,96%,52%,48%,23%,77%
19499T,St Oliver Plunkett Sp Sc,Co educational,Denominational,English,Dublin,Dunlaoghaire,Special School,Archbishop of Dublin,62,21,34%,17%,3,18,8,13,6,15,14%,86%,38%,62%,29%,71%,,,,,,,,,,,,,
19840C,Holy Family School,Co educational,Denominational,English,Dublin,Dunlaoghaire,Mainstream,Archbishop of Dublin,104,25,24%,16%,1,24,14,11,4,21,4%,96%,56%,44%,16%,84%,,,,,,,,,,,,,
